English,Turkish
found,kurmak
free,özgür
friend,arkadaş
further,daha öte
game,oyun
general,genel
generally,genel olarak
george,George
get,elde etmek
getting,edinme
give,vermek
gives,vermek
giving,verme
glass,bardak
god,Tanrı
goes,gitmek
gon,gon
gone,gitmiş
good,iyi
goods,mal
got,var
greater,daha büyük
ground,zemin
groups,grup
growth,büyüme
hair,saç
hands,eller
happy,mutlu
hard,zor
have,sahip olmak
hear,duymak
heart,kalp
held,tutulmuş
her,o
herself,kendini
higher,daha yüksek
history,tarih
home,Ev
hospital,hastane
hour,saat
hours,saat
house,ev
husband,koca
ideas,fikir
income,gelir
indeed,Aslında
industrial,Sanayi
interests,ilgi alanları
investment,yatırım
issue,sorun
issues,sorunlar
james,James
january,Ocak
july,temmuz
june,haziran
just,Sadece
keep,kale
know,Bilmek
knowledge,bilgi
labour,iş gücü
land,kara
language,dil
leave,ayrılmak
left,sol
legal,yasal
less,az
let,izin vermek
letter,mektup
levels,seviyeler
like,beğenmek
lines,çizgiler
list,liste
long,uzun
look,Bakmak
looked,baktı
loss,kayıp
lot,pay
love,Aşk
loving,sevgi dolu
low,Düşük
lower,daha düşük
majority,çoğunluk
make,yapmak
makes,yapı
manager,müdür
march,mart
matter,konu
may,mayıs
maybe,Belki
mean,Anlam
means,araç
meet,tanışmak
meeting,toplantı
member,üye
miles,mil
mind,akıl
minutes,dakikalar
model,model
modern,modern
month,ay
move,taşınmak
movement,hareket
mr.,Bay.
must,mutlak
myself,kendim
natural,doğal
nature,doğa
nearly,neredeyse
necessary,gerekli
need,ihtiyaç
new,yeni
news,haberler
nice,Güzel
nor,ne
normal,normal
now,Şimdi
numbers,sayılar
obviously,açıkça
october,ekim
oil,yağ
once,bir kere
ones,olanlar
only,sadece
open,açık
operation,operasyon
opportunity,fırsat
order,emir
original,orijinal
outside,dıştan
own,sahip olmak
page,sayfa
parents,ebeveynler
parties,partiler
parts,parça
patient,hasta
paul,Paul
pay,ödemek
people,insanlar
performance,verim
personal,kişisel
peter,Peter
picture,resim
plan,plan
play,oynamak
playing,oynama
please,Lütfen
points,puan
poor,fakir
popular,popüler
population,nüfus
pounds,pound
present,Sunmak
president,başkan
press,basmak
pressure,basınç
previous,öncesi
price,fiyat
prices,Fiyat:% s
prime,astar vurmak
private,özel
product,ürün
production,üretme
products,ürünler
professional,profesyonel
programme,program
project,proje
property,mülk
provide,sağlamak
put,koymak
quality,kalite
quickly,hızlıca
range,menzil
rate,oran
rates,oranlar
ready,hazır
reason,sebep
reasons,sebepler
recent,son
recently,son zamanlarda
record,kayıt
red,kırmızı
relations,ilişkiler
relationship,ilişki
resources,kaynaklar
response,cevap
rest,dinlenmek
result,sonuç
results,sonuçlar
richard,Richard
right,Sağ
rights,Haklar
risk,risk
road,yol
role,rol
round,yuvarlak
royal,asil
rules,tüzük
said,söz konusu
sales,satış
sat,doygunluk
saying,söz
scheme,şema
schools,okul
science,bilim
scotland,İskoçya
sea,deniz
season,mevsim
section,bölüm
security,güvenlik
september,eylül
series,seri
serious,cidden
set,ayarlamak
shop,mağaza
short,kısa
should,meli
show,göstermek
showed,gösterişli
shown,gösterişli
significant,önemli
similar,benzer
simple,basit
simply,basitçe
single,Bekar
sir,Sayın
site,alan
situation,durum
size,boyut
someone,birisi
son,oğul
soon,yakında
sorry,Üzgünüm
sort,düzenlemek
south,güney
space,uzay
specific,özel
stage,sahne
statement,ifade
still,Hala
stood,durmak
story,hikaye
street,sokak
structure,yapı
students,öğrenciler
studies,çalışmalar
study,çalışmak
style,stil
subject,ders
success,başarı
successful,başarılı
suddenly,Birden
summer,yaz
support,Destek
sure,Elbette
systems,sistemler
take,almak
takes,almak
talking,konuşma
tax,vergi
teachers,öğretmen
team,takım
technology,teknoloji
term,terim
terms,şartlar
thank,teşekkür etmek
theory,teori
thinking,düşünme
thousand,bin
throughout,boyunca
told,söylenmiş
town,şehir
trade,ticaret
traditional,geleneksel
training,eğitim
treatment,tedavi
TRUE,DOĞRU
try,denemek
trying,deneme
turned,döndü
type,tip
understand,anlamak
union,birlik
unit,birim
united,Birleşik
unless,meğer ki
used,kullanılmış
useful,kullanışlı
usually,genellikle
value,değer
various,çeşitli
very,çok
village,köy
wall,duvar
wanted,aranan
way,yol
ways,yol
weeks,haftalar
well,Peki
west,Batı
what,Ne
whatever,Her neyse
white,beyaz
whole,tüm
whom,kime
wife,eş
will,irade
window,pencere
word,kelime
work,iş
working,çalışma
would,istemek
written,yazılı
wrong,yanlış
wrote,yazılı
year,yıl
years,yıllar
yesterday,Dün
yourself,kendin
